"Symbol,DateTime,Open,High,Low,Close"
"SPX,12/2/2011 12:00:00 AM,1246.03,1260.08,1243.35,1244.28"
"SPX,12/5/2011 12:00:00 AM,1244.33,1266.73,1244.33,1257.08"
"SPX,12/6/2011 12:00:00 AM,1257.19,1266.03,1253.03,1258.47"
"SPX,12/7/2011 12:00:00 AM,1258.14,1267.06,1244.8,1261.01"
"SPX,12/8/2011 12:00:00 AM,1260.87,1260.87,1231.47,1234.35"
"SPX,12/9/2011 12:00:00 AM,1234.48,1258.25,1234.48,1255.19"
"SPX,12/12/2011 12:00:00 AM,1255.05,1255.05,1227.25,1236.47"
"SPX,12/13/2011 12:00:00 AM,1236.83,1249.86,1219.43,1225.73"
"SPX,12/14/2011 12:00:00 AM,1225.73,1225.73,1209.47,1211.82"
"SPX,12/15/2011 12:00:00 AM,1212.12,1225.6,1212.12,1215.75"
"SPX,12/16/2011 12:00:00 AM,1216.09,1231.04,1215.2,1219.66"
"SPX,12/19/2011 12:00:00 AM,1219.74,1224.57,1202.37,1205.35"
"SPX,12/20/2011 12:00:00 AM,1205.72,1242.82,1205.72,1241.3"
"SPX,12/21/2011 12:00:00 AM,1241.25,1245.09,1229.51,1243.72"
"SPX,12/22/2011 12:00:00 AM,1243.72,1255.22,1243.72,1254"
"SPX,12/23/2011 12:00:00 AM,1254,1265.42,1254,1265.33"
"SPX,12/27/2011 12:00:00 AM,1265.02,1269.37,1262.3,1265.43"
"SPX,12/28/2011 12:00:00 AM,1265.38,1265.85,1248.64,1249.64"
"SPX,12/29/2011 12:00:00 AM,1249.75,1263.54,1249.75,1263.02"
"SPX,12/30/2011 12:00:00 AM,1262.82,1264.12,1257.46,1257.6"
"SPX,1/3/2012 12:00:00 AM,1258.86,1284.62,1258.86,1277.06"
"SPX,1/4/2012 12:00:00 AM,1277.03,1278.73,1268.1,1277.3"
"SPX,1/5/2012 12:00:00 AM,1277.3,1283.05,1265.26,1281.06"
"SPX,1/6/2012 12:00:00 AM,1280.93,1281.84,1273.34,1277.81"
"SPX,1/9/2012 12:00:00 AM,1277.83,1281.99,1274.55,1280.7"
"SPX,1/10/2012 12:00:00 AM,1280.77,1296.46,1280.77,1292.08"
"SPX,1/11/2012 12:00:00 AM,1292.02,1293.8,1285.41,1292.48"
"SPX,1/12/2012 12:00:00 AM,1292.48,1296.82,1285.77,1295.5"
"SPX,1/13/2012 12:00:00 AM,1294.82,1294.82,1277.58,1289.09"
"SPX,1/17/2012 12:00:00 AM,1290.22,1303,1290.22,1293.67"
"SPX,1/18/2012 12:00:00 AM,1293.65,1308.11,1290.99,1308.04"
"SPX,1/19/2012 12:00:00 AM,1308.07,1315.49,1308.07,1314.5"
"SPX,1/20/2012 12:00:00 AM,1314.49,1315.38,1309.17,1315.38"
"SPX,1/23/2012 12:00:00 AM,1315.29,1322.28,1309.89,1316"
"SPX,1/24/2012 12:00:00 AM,1315.96,1315.96,1306.06,1314.65"
"SPX,1/25/2012 12:00:00 AM,1314.4,1328.3,1307.65,1326.06"
"SPX,1/26/2012 12:00:00 AM,1326.28,1333.47,1313.6,1318.43"
"SPX,1/27/2012 12:00:00 AM,1318.25,1320.06,1311.72,1316.33"
"SPX,1/30/2012 12:00:00 AM,1316.16,1316.16,1300.49,1313.01"
"SPX,1/31/2012 12:00:00 AM,1313.53,1321.41,1306.69,1312.41"
"SPX,2/1/2012 12:00:00 AM,1312.45,1330.52,1312.45,1324.09"
"SPX,2/2/2012 12:00:00 AM,1324.24,1329.19,1321.57,1325.54"
"SPX,2/3/2012 12:00:00 AM,1326.21,1345.34,1326.21,1344.9"
"SPX,2/6/2012 12:00:00 AM,1344.32,1344.36,1337.52,1344.33"
"SPX,2/7/2012 12:00:00 AM,1344.33,1349.24,1335.92,1347.05"
"SPX,2/8/2012 12:00:00 AM,1347.04,1351,1341.95,1349.96"
"SPX,2/9/2012 12:00:00 AM,1349.97,1354.32,1344.63,1351.95"
"SPX,2/10/2012 12:00:00 AM,1351.21,1351.21,1337.35,1342.64"
"SPX,2/13/2012 12:00:00 AM,1343.06,1353.35,1343.06,1351.77"
"SPX,2/14/2012 12:00:00 AM,1351.3,1351.3,1340.83,1350.5"
"SPX,2/15/2012 12:00:00 AM,1350.52,1355.87,1340.8,1343.23"
"SPX,2/16/2012 12:00:00 AM,1342.61,1359.02,1341.22,1358.04"
"SPX,2/17/2012 12:00:00 AM,1358.06,1363.4,1357.24,1361.23"
"SPX,2/21/2012 12:00:00 AM,1361.22,1367.76,1358.11,1362.21"
"SPX,2/22/2012 12:00:00 AM,1362.11,1362.7,1355.53,1357.66"
"SPX,2/23/2012 12:00:00 AM,1357.53,1364.24,1352.28,1363.46"
"SPX,2/24/2012 12:00:00 AM,1363.46,1368.92,1363.46,1365.74"
"SPX,2/27/2012 12:00:00 AM,1365.2,1371.94,1354.92,1367.59"
"SPX,2/28/2012 12:00:00 AM,1367.56,1373.09,1365.97,1372.18"
"SPX,2/29/2012 12:00:00 AM,1372.2,1378.04,1363.81,1365.68"
"SPX,3/1/2012 12:00:00 AM,1365.9,1376.17,1365.9,1374.09"
"SPX,3/2/2012 12:00:00 AM,1374.09,1374.53,1366.42,1369.63"
"SPX,3/5/2012 12:00:00 AM,1369.59,1369.59,1359.13,1364.33"
"SPX,3/6/2012 12:00:00 AM,1363.63,1363.63,1340.03,1343.36"
"SPX,3/7/2012 12:00:00 AM,1343.39,1354.85,1343.39,1352.63"
"SPX,3/8/2012 12:00:00 AM,1352.65,1368.72,1352.65,1365.91"
"SPX,3/9/2012 12:00:00 AM,1365.97,1374.76,1365.97,1370.87"
"SPX,3/12/2012 12:00:00 AM,1370.78,1373.04,1366.69,1371.09"
"SPX,3/13/2012 12:00:00 AM,1371.92,1396.13,1371.92,1395.95"
"SPX,3/14/2012 12:00:00 AM,1395.95,1399.42,1389.97,1394.28"
"SPX,3/15/2012 12:00:00 AM,1394.17,1402.63,1392.78,1402.6"
"SPX,3/16/2012 12:00:00 AM,1402.55,1405.88,1401.47,1404.17"
"SPX,3/19/2012 12:00:00 AM,1404.17,1414,1402.43,1409.75"
"SPX,3/20/2012 12:00:00 AM,1409.59,1409.59,1397.68,1405.52"
"SPX,3/21/2012 12:00:00 AM,1405.52,1407.75,1400.64,1402.89"
"SPX,3/22/2012 12:00:00 AM,1402.89,1402.89,1388.73,1392.78"
"SPX,3/23/2012 12:00:00 AM,1392.78,1399.18,1386.87,1397.11"
"SPX,3/26/2012 12:00:00 AM,1397.11,1416.58,1397.11,1416.51"
"SPX,3/27/2012 12:00:00 AM,1416.55,1419.15,1411.95,1412.52"
"SPX,3/28/2012 12:00:00 AM,1412.52,1413.65,1397.2,1405.54"
"SPX,3/29/2012 12:00:00 AM,1405.39,1405.39,1391.56,1403.28"
"SPX,3/30/2012 12:00:00 AM,1403.31,1410.89,1401.42,1408.47"
"SPX,4/2/2012 12:00:00 AM,1408.47,1422.38,1404.46,1419.04"
"SPX,4/3/2012 12:00:00 AM,1418.98,1419,1404.62,1413.38"
"SPX,4/4/2012 12:00:00 AM,1413.09,1413.09,1394.09,1398.96"
"SPX,4/5/2012 12:00:00 AM,1398.79,1401.6,1392.92,1398.08"
"SPX,4/9/2012 12:00:00 AM,1397.45,1397.45,1378.24,1382.2"
"SPX,4/10/2012 12:00:00 AM,1382.18,1383.01,1357.38,1358.59"
"SPX,4/11/2012 12:00:00 AM,1358.98,1374.71,1358.98,1368.71"
"SPX,4/12/2012 12:00:00 AM,1368.77,1388.13,1368.77,1387.57"
"SPX,4/13/2012 12:00:00 AM,1387.61,1387.61,1369.85,1370.26"
"SPX,4/16/2012 12:00:00 AM,1370.27,1379.66,1365.38,1369.57"
"SPX,4/17/2012 12:00:00 AM,1369.57,1392.76,1369.57,1390.78"
"SPX,4/18/2012 12:00:00 AM,1390.78,1390.78,1383.29,1385.14"
"SPX,4/19/2012 12:00:00 AM,1385.08,1390.46,1370.3,1376.92"
