Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
GLD,11/10/2017 12:00:00 AM,121.99,122.11,120.935,121.13,7116200,121.3885,121.423,123.0119,120.188,124.8907,46.2158,120.2056,121.4475,122.6894,-0.28,-0.3912
GLD,11/13/2017 12:00:00 AM,121.43,121.55,121.27,121.31,6249346,121.3728,122.2453,122.5104,119.5558,124.4608,47.4728,120.3374,121.3645,122.3916,-0.2663,-0.3662
GLD,11/14/2017 12:00:00 AM,120.9,121.91,120.77,121.56,6188992,121.4103,121.9613,122.2946,119.6311,124.0901,49.2469,120.3653,121.336,122.3067,-0.2326,-0.3395
GLD,11/15/2017 12:00:00 AM,122.13,122.36,121.25,121.41,4984812,121.4102,121.99,122.2711,119.4776,124.1339,48.1951,120.3637,121.323,122.2823,-0.2154,-0.3147
GLD,11/16/2017 12:00:00 AM,121.45,121.71,121.29,121.4,2796545,121.4082,122.5058,122.7686,119.883,124.6814,48.1213,120.4465,121.2735,122.1005,-0.2004,-0.2918
GLD,11/17/2017 12:00:00 AM,122.15,123.17,121.95,122.86,10613955,121.6985,122.0381,122.3648,119.7583,124.1277,58.1868,120.264,121.336,122.408,-0.0698,-0.2474
GLD,11/20/2017 12:00:00 AM,122.3,122.41,121.04,121.31,8356673,121.6208,121.7416,121.5306,120.5186,125.6004,47.6229,120.2609,121.3115,122.3621,-0.0904,-0.216
GLD,11/21/2017 12:00:00 AM,121.67,122,121.5,121.51,4956456,121.5987,122.7257,122.8981,119.4172,125.1376,48.9117,120.2663,121.3205,122.3747,-0.0895,-0.1907
GLD,11/22/2017 12:00:00 AM,122.26,122.95,122.17,122.63,5211832,121.8049,122.5436,122.8353,119.5968,124.9561,55.5136,120.1855,121.3845,122.5835,0.0015,-0.1523
GLD,11/24/2017 12:00:00 AM,122.36,122.61,122.22,122.32,1779705,121.9079,121.6806,123.7098,120.2857,125.9374,53.4546,120.3218,121.484,122.6462,0.0481,-0.1122
GLD,11/27/2017 12:00:00 AM,123.26,123.33,122.67,122.83,4961215,122.0924,121.7726,123.4303,120.3831,125.4621,56.3246,120.3126,121.5805,122.8484,0.1248,-0.0648
GLD,11/28/2017 12:00:00 AM,123.05,123.17,122.53,122.81,5603112,122.2359,122.3318,124.0143,120.9701,126.0444,56.1783,120.3076,121.6645,123.0214,0.1818,-0.0155
GLD,11/29/2017 12:00:00 AM,122.24,122.33,121.74,122.04,6138941,122.1967,122.2699,123.7963,120.945,125.7214,50.7167,120.4474,121.733,123.0186,0.163,0.0202
GLD,11/30/2017 12:00:00 AM,121.44,121.695,120.64,121.1,7936260,121.9774,122.6827,123.0038,120.0909,124.9585,44.9691,120.4459,121.7325,123.0191,0.0714,0.0304
GLD,12/1/2017 12:00:00 AM,120.94,122.43,120.74,121.59,13080101,121.8999,121.9481,122.2147,119.0807,124.2874,48.2607,120.488,121.7525,123.017,0.0379,0.0319
GLD,12/4/2017 12:00:00 AM,121.15,121.2,120.84,121.18,6943679,121.7559,122.5266,122.749,119.2827,125.0049,45.7925,120.5953,121.7805,122.9657,-0.0215,0.0213
GLD,12/5/2017 12:00:00 AM,120.44,120.505,119.72,120.32,10041159,121.4687,121.7949,122.1088,118.8514,124.2599,41.0502,120.3685,121.714,123.0595,-0.1363,-0.0103
GLD,12/6/2017 12:00:00 AM,120.03,120.44,119.87,120.07,6643006,121.189,120.9863,121.2688,117.8187,123.5278,39.7611,120.1447,121.657,123.1693,-0.2447,-0.0572
GLD,12/7/2017 12:00:00 AM,119.01,119.24,118.1,118.49,12900240,120.6492,120.8389,121.2047,118.0535,123.308,32.7594,119.452,121.5,123.548,-0.4529,-0.1363
GLD,12/8/2017 12:00:00 AM,118.63,118.92,118.33,118.48,5231287,120.2154,119.6319,119.887,116.2621,122.2471,32.7201,118.908,121.3175,123.727,-0.6116,-0.2314
GLD,12/11/2017 12:00:00 AM,118.37,118.54,117.8,118.01,4522244,119.7743,119.3673,119.728,116.4217,121.9241,30.8483,118.3527,121.1615,123.9703,-0.7665,-0.3384
GLD,12/12/2017 12:00:00 AM,117.73,118.17,117.4,118.15,8020109,119.4494,118.8226,119.207,116.0873,121.3031,32.0944,117.9053,121.0035,124.1017,-0.868,-0.4443
GLD,12/13/2017 12:00:00 AM,118.19,119.35,118.01,119.17,10086657,119.3935,118.3922,118.7735,115.7927,120.7915,40.5064,117.6978,120.884,124.0702,-0.8562,-0.5267
GLD,12/14/2017 12:00:00 AM,119.1,119.285,118.705,118.93,6993592,119.3008,117.9405,117.6276,116.5731,121.8424,39.2736,117.4738,120.76,124.0462,-0.8564,-0.5926
GLD,12/15/2017 12:00:00 AM,119.41,119.5,118.97,119.18,7531964,119.2767,118.3889,118.0285,117.0459,121.9386,41.2784,117.3073,120.649,123.9907,-0.8268,-0.6395
GLD,12/18/2017 12:00:00 AM,119.63,119.99,119.6,119.73,5452212,119.3673,118.7117,118.3406,117.4208,121.9888,45.5383,117.2893,120.4925,123.6957,-0.7503,-0.6616
GLD,12/19/2017 12:00:00 AM,119.67,119.9,119.53,119.82,4018885,119.4579,119.2542,118.9159,118.0131,122.499,46.2257,117.2251,120.418,123.6109,-0.6747,-0.6642
GLD,12/20/2017 12:00:00 AM,119.98,120.36,119.81,120.14,5734625,119.5943,119.2869,118.9285,118.1068,122.1737,48.7049,117.1947,120.3495,123.5043,-0.5822,-0.6478
GLD,12/21/2017 12:00:00 AM,120.07,120.45,120,120.31,4823709,119.7374,119.6742,119.3415,118.5615,122.4193,50.0232,117.257,120.2335,123.21,-0.4895,-0.6162
GLD,12/22/2017 12:00:00 AM,120.67,121.14,120.57,120.94,5791312,119.9779,119.8525,119.5349,118.8054,122.4079,54.6721,117.3238,120.1645,123.0052,-0.3611,-0.5652
GLD,12/26/2017 12:00:00 AM,121.55,121.87,121.51,121.77,8224411,120.3364,120.3991,120.1394,119.3953,123.0851,59.9571,117.437,120.1115,122.786,-0.1902,-0.4902
GLD,12/27/2017 12:00:00 AM,122,122.34,121.875,122.23,6232678,120.7151,121.1561,120.9354,120.1636,124.0063,62.5623,117.5153,120.0825,122.6497,-0.0174,-0.3956
GLD,12/28/2017 12:00:00 AM,122.82,122.92,122.56,122.85,5732725,121.1421,121.6275,121.3865,120.6455,124.3305,65.7927,117.412,120.123,122.834,0.1677,-0.283
GLD,12/29/2017 12:00:00 AM,123.7,124.085,123.46,123.65,7852109,121.6437,122.2588,122.0246,121.2917,124.9395,69.4551,117.1551,120.2505,123.3459,0.3745,-0.1515
GLD,1/2/2018 12:00:00 AM,124.66,125.18,124.39,125.15,11762515,122.3449,123.138,122.9627,122.1539,126.2036,74.8848,116.7006,120.4285,124.1564,0.652,0.0092
GLD,1/3/2018 12:00:00 AM,125.05,125.09,124.101,124.82,7904326,122.8399,123.9759,123.8442,122.9262,127.5482,71.8584,116.4262,120.6105,124.7948,0.8356,0.1745
GLD,1/4/2018 12:00:00 AM,124.89,125.85,124.74,125.46,7329718,123.364,123.8163,123.635,122.6968,127.4178,74.0489,116.1844,120.8675,125.5506,1.0211,0.3438
GLD,1/5/2018 12:00:00 AM,124.93,125.48,124.83,125.33,5739904,123.7572,124.5167,124.3074,123.3428,128.1954,72.8092,116.0798,121.1305,126.1812,1.1443,0.5039
GLD,1/8/2018 12:00:00 AM,125.2,125.32,124.9,125.31,3566707,124.0677,124.506,124.2287,123.3115,127.9092,72.6078,116.2615,121.4715,126.6815,1.2262,0.6484
