Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
SPX,3/4/2013 12:00:00 AM,1518.2,1525.27,1512.29,1525.2,0,1514.2586,1498.2102,1493.6424,1477.0233,1460.8571,59.1849,1492.7804,1513.2075,1533.6346,7.6709,9.0899
SPX,3/5/2013 12:00:00 AM,1525.2,1543.47,1525.2,1539.79,0,1519.3648,1507.6307,1502.4351,1486.3602,1470.5848,63.9392,1493.5499,1515.4115,1537.2731,9.219,9.1157
SPX,3/6/2013 12:00:00 AM,1539.79,1545.25,1538.11,1541.46,0,1523.7839,1522.5298,1517.6401,1501.2285,1485.1222,64.4496,1492.402,1516.92,1541.438,10.46,9.3846
SPX,3/7/2013 12:00:00 AM,1541.46,1545.78,1541.46,1544.26,0,1527.8791,1532.5977,1526.7223,1511.7113,1496.743,65.3356,1491.4034,1518.527,1545.6506,11.5365,9.8149
SPX,3/8/2013 12:00:00 AM,1544.26,1552.48,1542.94,1551.18,0,1532.5393,1536.961,1530.5965,1517.2061,1503.6025,67.4919,1490.3713,1520.6165,1550.8617,12.8005,10.4121
SPX,3/11/2013 12:00:00 AM,1551.15,1556.27,1547.36,1556.22,0,1537.2754,1541.0434,1535.3198,1522.5184,1509.446,69.0042,1488.5871,1522.531,1556.4749,14.0469,11.139
SPX,3/12/2013 12:00:00 AM,1556.22,1556.77,1548.24,1552.48,0,1540.3163,1545.3202,1540.0576,1527.852,1515.3254,66.5308,1488.0705,1524.3045,1560.5385,14.565,11.8242
SPX,3/13/2013 12:00:00 AM,1552.48,1556.39,1548.25,1554.52,0,1543.1571,1546.2197,1541.3344,1529.6925,1517.6923,67.221,1487.6086,1526.059,1564.5094,14.9677,12.4529
SPX,3/14/2013 12:00:00 AM,1554.52,1563.32,1554.52,1563.23,0,1547.1717,1546.2696,1541.7004,1530.5962,1519.1062,70.0598,1486.6131,1528.204,1569.7949,15.8075,13.1238
SPX,3/15/2013 12:00:00 AM,1563.21,1563.62,1555.74,1560.7,0,1549.8773,1552.8258,1548.6312,1537.8835,1526.7545,68.2119,1486.3953,1530.17,1573.9447,16.0834,13.7158
SPX,3/18/2013 12:00:00 AM,1560.7,1560.7,1545.13,1552.1,0,1550.3219,1553.8171,1549.8292,1539.5229,1528.8261,62.2055,1487.2836,1531.7855,1576.2874,15.4303,14.0587
SPX,3/19/2013 12:00:00 AM,1552.1,1557.25,1538.57,1548.34,0,1549.9255,1560.7924,1542.0243,1530.9275,1519.6217,59.7291,1487.5771,1532.6555,1577.7339,14.4428,14.1355
SPX,3/20/2013 12:00:00 AM,1548.34,1561.56,1548.34,1558.71,0,1551.6824,1557.8668,1535.6031,1523.3604,1511.1172,63.9872,1489.6038,1534.9935,1580.3832,14.3318,14.1748
SPX,3/21/2013 12:00:00 AM,1558.71,1558.71,1543.55,1545.8,0,1550.5059,1545.2743,1542.4771,1530.0853,1517.7161,56.0426,1494.1212,1537.1625,1580.2038,13.0516,13.9501
SPX,3/22/2013 12:00:00 AM,1545.9,1557.74,1545.9,1556.89,0,1551.7827,1541.0798,1538.1685,1525.3561,1512.6275,60.5714,1496.5614,1539.227,1581.8926,12.7846,13.717
SPX,3/25/2013 12:00:00 AM,1556.89,1564.91,1546.22,1551.69,0,1551.7642,1542.4467,1539.0442,1526.3617,1513.7302,57.576,1506.6036,1542.419,1578.2344,12.0148,13.3766
SPX,3/26/2013 12:00:00 AM,1551.69,1563.95,1551.69,1563.77,0,1554.1653,1544.7078,1541.7139,1528.1198,1514.709,62.2468,1515.5019,1545.7605,1576.0191,12.2385,13.149
SPX,3/27/2013 12:00:00 AM,1563.75,1564.07,1551.9,1562.85,0,1555.9023,1547.8729,1544.2582,1530.8623,1517.5911,61.6897,1520.2687,1548.1035,1575.9383,12.2009,12.9593
SPX,3/28/2013 12:00:00 AM,1562.86,1570.28,1561.08,1569.19,0,1558.5598,1548.6091,1544.6763,1531.4636,1518.3282,64.0756,1526.1194,1550.829,1575.5386,12.5381,12.8751
SPX,4/1/2013 12:00:00 AM,1569.18,1570.57,1558.47,1562.17,0,1559.2819,1557.4785,1553.1183,1540.5122,1527.8781,59.6461,1532.9271,1553.0275,1573.1279,12.0994,12.72
SPX,4/2/2013 12:00:00 AM,1562.17,1573.66,1562.17,1570.25,0,1561.4755,1556.2111,1552.0423,1539.5135,1526.9492,62.8311,1538.3041,1555.28,1572.2559,12.2624,12.6285
SPX,4/3/2013 12:00:00 AM,1570.25,1571.47,1549.8,1553.69,0,1559.9184,1559.7125,1555.6168,1543.2462,1530.8212,53.5097,1540.523,1555.975,1571.427,10.9293,12.2886
SPX,4/4/2013 12:00:00 AM,1553.69,1562.6,1552.52,1559.98,0,1559.9307,1571.6241,1574.6371,1532.8544,1519.2464,56.1696,1542.8865,1556.901,1570.9155,10.2621,11.8833
SPX,4/5/2013 12:00:00 AM,1559.98,1559.98,1539.5,1553.28,0,1558.6006,1566.9759,1570.849,1531.0495,1517.8866,52.7102,1544.458,1557.352,1570.246,9.088,11.3243
SPX,4/8/2013 12:00:00 AM,1553.26,1563.07,1548.63,1563.07,0,1559.4945,1561.1239,1564.3365,1520.8212,1506.7179,56.8883,1545.1495,1557.9465,1570.7435,8.8454,10.8285
SPX,4/9/2013 12:00:00 AM,1563.11,1573.89,1560.92,1568.61,0,1561.3176,1544.9764,1570.418,1526.9377,1512.782,59.091,1544.9876,1558.566,1572.1444,8.9965,10.4621
SPX,4/10/2013 12:00:00 AM,1568.61,1589.07,1568.61,1587.73,0,1566.6001,1557.2493,1581.6825,1538.9881,1524.9767,65.6196,1542.0351,1560.3285,1578.6219,10.5377,10.4772
