Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
SPY,8/25/2004 12:00:00 AM,110.33,111.27,109.9,111.1,38551400,109.8805,109.6337,109.2124,108.1073,113.6001,57.7421,106.3767,109.2465,112.1163,-0.0668,-0.4896
SPY,8/26/2004 12:00:00 AM,110.96,111.31,110.85,111.1,26629500,110.1244,109.8076,109.4542,108.3094,114.0182,57.7421,106.3456,109.273,112.2004,0.0496,-0.3817
SPY,8/27/2004 12:00:00 AM,111.2,111.63,111.05,111.45,24902900,110.3895,110.4848,110.0712,109.0304,114.1973,59.5518,106.2997,109.3035,112.3073,0.1682,-0.2718
SPY,8/30/2004 12:00:00 AM,111.23,111.34,110.45,110.53,26726500,110.4176,110.8205,110.4092,109.4386,114.2454,53.113,106.3275,109.2765,112.2255,0.1858,-0.1802
SPY,8/31/2004 12:00:00 AM,110.66,111.16,110.1,111.11,44125300,110.5561,111.4867,109.9516,108.9772,113.815,56.3194,106.2906,109.3215,112.3524,0.2437,-0.0955
SPY,9/1/2004 12:00:00 AM,110.95,111.64,110.48,111.32,52778300,110.7089,111.2818,109.6654,108.6785,113.59,57.4539,106.244,109.3775,112.511,0.3031,-0.0157
SPY,9/2/2004 12:00:00 AM,111.24,112.7,111.24,112.58,42736600,111.0831,110.3441,110.0599,109.0471,114.1,63.5681,106.1948,109.5865,112.9782,0.4467,0.0767
SPY,9/3/2004 12:00:00 AM,112.3,112.82,112.01,112.12,30480500,111.2905,111.1317,110.8863,109.8059,115.2161,60.1686,106.5315,109.85,113.1685,0.5174,0.1649
SPY,9/7/2004 12:00:00 AM,112.54,113.13,112.32,112.86,37338800,111.6044,111.6852,111.381,110.3416,115.5356,63.546,106.8481,110.143,113.4379,0.6259,0.2571
SPY,9/8/2004 12:00:00 AM,112.62,113.06,112.31,112.58,32963100,111.7995,112.0043,111.6954,110.6605,115.8316,61.4237,106.9995,110.353,113.7065,0.6815,0.342
SPY,9/9/2004 12:00:00 AM,112.57,112.88,112.03,112.48,34314800,111.9356,112.0426,111.7062,110.7146,115.6598,60.6447,107.252,110.569,113.886,0.7093,0.4154
SPY,9/10/2004 12:00:00 AM,112.52,113.27,112.08,113.06,27900600,112.1605,111.8316,111.4996,110.5296,115.3645,63.5334,107.8238,110.873,113.9222,0.7692,0.4862
SPY,9/13/2004 12:00:00 AM,113.31,113.74,113.01,113.43,44398100,112.4144,111.9677,111.677,110.6739,115.6861,65.2841,108.4458,111.185,113.9242,0.8369,0.5563
SPY,9/14/2004 12:00:00 AM,113.3,113.69,113.19,113.66,28048900,112.6635,112.7462,112.4257,111.4641,116.2598,66.365,108.8499,111.453,114.0561,0.8988,0.6248
SPY,9/15/2004 12:00:00 AM,113.3,113.36,112.68,112.8,38295000,112.6908,112.9227,112.5724,111.6809,116.1117,58.9712,109.2612,111.6475,114.0338,0.8684,0.6735
SPY,9/16/2004 12:00:00 AM,112.85,113.37,112.8,113.14,23911700,112.7806,113.6048,112.132,111.2274,115.733,60.8293,109.4535,111.803,114.1525,0.8619,0.7112
SPY,9/17/2004 12:00:00 AM,112.95,113.36,112.69,113.15,33683000,112.8545,113.5955,112.2548,111.4012,115.6437,60.8854,109.764,111.975,114.186,0.8477,0.7385
SPY,9/20/2004 12:00:00 AM,112.67,112.99,112.28,112.47,37149400,112.7776,113.5189,112.2239,111.3985,115.4993,55.1053,109.9648,112.0745,114.1842,0.7727,0.7453
SPY,9/21/2004 12:00:00 AM,112.75,113.47,112.54,112.96,40920800,112.8141,113.1749,111.8214,110.9896,115.1302,58.1857,110.2558,112.2125,114.1692,0.7442,0.7451
SPY,9/22/2004 12:00:00 AM,112.5,112.52,111.47,111.55,49042100,112.5613,113.609,112.1575,111.3005,115.5778,47.983,110.4813,112.2725,114.0637,0.6009,0.7163
SPY,9/23/2004 12:00:00 AM,111.6,111.7,110.95,110.95,44068700,112.239,112.7746,112.9593,110.0779,114.8597,44.414,110.4531,112.265,114.0769,0.434,0.6598
SPY,9/24/2004 12:00:00 AM,111.17,111.73,111.13,111.46,34981100,112.0832,112.0027,112.2504,109.4774,114.0951,47.9574,110.5111,112.283,114.0549,0.3389,0.5956
SPY,9/27/2004 12:00:00 AM,111.1,111.2,110.58,110.75,39355100,111.8166,112.055,112.3289,109.6303,114.134,43.7739,110.3863,112.248,114.1097,0.2039,0.5173
SPY,9/28/2004 12:00:00 AM,110.91,111.51,110.41,111.28,41662900,111.7093,111.5114,111.7855,109.0969,113.5841,47.4585,110.5369,112.2855,114.0341,0.1381,0.4414
SPY,9/29/2004 12:00:00 AM,111.21,111.85,111,111.84,33325700,111.7354,111.6409,111.8927,109.0991,113.7473,51.1045,110.644,112.322,114,0.1296,0.3791
SPY,9/30/2004 12:00:00 AM,111.55,111.98,111.26,111.76,43536700,111.7403,110.7785,112.3426,109.5909,114.1758,50.5646,110.7082,112.344,113.9798,0.1151,0.3263
SPY,10/1/2004 12:00:00 AM,112.26,113.65,112.21,113.65,62824300,112.1223,111.0305,112.5017,109.8516,114.2799,61.0361,110.667,112.3975,114.128,0.2532,0.3117
SPY,10/4/2004 12:00:00 AM,114.1,114.44,113.8,113.84,33082400,112.4658,112.0471,111.865,110.8263,116.053,61.9096,110.6489,112.4835,114.3181,0.3737,0.3241
SPY,10/5/2004 12:00:00 AM,113.85,114.16,113.54,113.9,36910600,112.7526,113.3691,113.105,112.1036,117.1272,62.1978,110.6047,112.5355,114.4663,0.4686,0.353
SPY,10/6/2004 12:00:00 AM,113.77,114.68,113.68,114.68,42297800,113.1381,113.2258,112.9068,111.963,116.6807,65.8185,110.495,112.6405,114.786,0.5999,0.4024
SPY,10/7/2004 12:00:00 AM,114.38,114.4,113.36,113.45,39388800,113.2005,113.5255,113.2265,112.2742,117.0367,56.6104,110.5165,112.689,114.8615,0.5978,0.4415
SPY,10/8/2004 12:00:00 AM,113.15,113.77,112.35,112.51,51872600,113.0624,114.6423,112.8598,111.8518,116.9065,50.7652,110.4946,112.6615,114.8284,0.5143,0.456
SPY,10/11/2004 12:00:00 AM,112.78,113.02,112.64,112.97,20229100,113.0439,113.915,114.1529,110.8965,116.2762,53.306,110.4951,112.6385,114.7819,0.4797,0.4608
SPY,10/12/2004 12:00:00 AM,112.2,112.83,111.94,112.53,41754700,112.9411,113.4858,113.8169,110.8571,115.7868,50.6153,110.4903,112.582,114.6737,0.4121,0.451
SPY,10/13/2004 12:00:00 AM,113,113.07,111.32,111.54,54212600,112.6609,113.0669,113.3797,110.3976,115.3623,45.0992,110.382,112.519,114.656,0.2754,0.4159
SPY,10/14/2004 12:00:00 AM,111.68,111.93,110.58,110.64,64082200,112.2567,113.0941,113.327,109.9555,115.522,40.7513,110.1283,112.394,114.6597,0.0934,0.3514
SPY,10/15/2004 12:00:00 AM,111.02,111.74,110.57,111.26,63482200,112.0574,112.1725,112.4267,108.9387,114.6932,44.7061,110.0103,112.2995,114.5887,-0.0008,0.281
